"names";"ID";"nbr_MS";"start";"end";"used";"blank (ID)";"color";"concentration";"unit";"acq_T0 (ID)";"delta_T (s)";"grp1";"grp2";"..."
"flw_011_FqP";"111";"30";"3893";"3922";"TRUE";"";"";"";"";"";"";"";"";""
"flw_012_FqB";"112";"46";"3923";"3968";"TRUE";"";"";"";"";"";"";"";"";""
"flw_013_Blc";"113";"30";"3969";"3998";"TRUE";"";"";"";"";"";"";"";"";""
"flw_014_FqM";"114";"30";"3999";"4028";"TRUE";"";"";"";"";"";"";"";"";""
"flw_015_FqP";"115";"30";"4029";"4058";"TRUE";"";"";"";"";"";"";"";"";""
"flw_016_FqB";"116";"46";"4059";"4104";"TRUE";"";"";"";"";"";"";"";"";""
"flw_017_FqP";"117";"30";"4105";"4134";"TRUE";"";"";"";"";"";"";"";"";""
"flw_018_FqB";"118";"46";"4135";"4180";"TRUE";"";"";"";"";"";"";"";"";""
"flw_019_FqP";"119";"30";"4181";"4210";"TRUE";"";"";"";"";"";"";"";"";""
"flw_020_FqM";"120";"30";"4211";"4240";"TRUE";"";"";"";"";"";"";"";"";""
"flw_021_Blc";"121";"30";"4241";"4270";"TRUE";"";"";"";"";"";"";"";"";""
"flw_022_FqM";"122";"30";"4271";"4300";"TRUE";"";"";"";"";"";"";"";"";""
"flw_023_FqB";"123";"46";"4301";"4346";"TRUE";"";"";"";"";"";"";"";"";""
"flw_024_FqP";"124";"30";"4347";"4376";"TRUE";"";"";"";"";"";"";"";"";""
"flw_025_Blc";"125";"30";"4377";"4406";"TRUE";"";"";"";"";"";"";"";"";""
"flw_026_FqP";"126";"30";"4407";"4436";"TRUE";"";"";"";"";"";"";"";"";""
"flw_027_FqM";"127";"30";"4437";"4466";"TRUE";"";"";"";"";"";"";"";"";""
"flw_028_FqB";"128";"46";"4467";"4512";"TRUE";"";"";"";"";"";"";"";"";""
"flw_029_FqB";"129";"46";"4513";"4558";"TRUE";"";"";"";"";"";"";"";"";""
"flw_030_FqM";"130";"30";"4559";"4588";"TRUE";"";"";"";"";"";"";"";"";""
"flw_031_FqP";"131";"30";"4589";"4618";"TRUE";"";"";"";"";"";"";"";"";""
"flw_032_Blc";"132";"30";"4619";"4648";"TRUE";"";"";"";"";"";"";"";"";""
"flw_033_Blc";"133";"30";"4649";"4678";"TRUE";"";"";"";"";"";"";"";"";""
"flw_034_FqB";"134";"46";"4679";"4724";"TRUE";"";"";"";"";"";"";"";"";""
"flw_035_FqM";"135";"30";"4725";"4754";"TRUE";"";"";"";"";"";"";"";"";""
"flw_036_FqP";"136";"30";"4755";"4784";"TRUE";"";"";"";"";"";"";"";"";""
"flw_037_FqB";"137";"46";"4785";"4830";"TRUE";"";"";"";"";"";"";"";"";""
"flw_038_FqP";"138";"30";"4831";"4860";"TRUE";"";"";"";"";"";"";"";"";""
"flw_039_Blc";"139";"30";"4861";"4890";"TRUE";"";"";"";"";"";"";"";"";""
"flw_040_FqM";"140";"30";"4891";"4920";"TRUE";"";"";"";"";"";"";"";"";""
"flw_041_Blc";"141";"30";"4921";"4950";"TRUE";"";"";"";"";"";"";"";"";""
"flw_042_FqB";"142";"46";"4951";"4996";"TRUE";"";"";"";"";"";"";"";"";""
"flw_043_FqM";"143";"30";"4997";"5026";"TRUE";"";"";"";"";"";"";"";"";""
"flw_044_FqP";"144";"30";"5027";"5056";"TRUE";"";"";"";"";"";"";"";"";""
"flw_045_FqB";"145";"46";"5057";"5102";"TRUE";"";"";"";"";"";"";"";"";""
"flw_046_FqM";"146";"30";"5103";"5132";"TRUE";"";"";"";"";"";"";"";"";""
"flw_047_FqP";"147";"30";"5133";"5162";"TRUE";"";"";"";"";"";"";"";"";""
"flw_048_Blc";"148";"30";"5163";"5192";"TRUE";"";"";"";"";"";"";"";"";""
"flw_049_FqB";"149";"46";"5193";"5238";"TRUE";"";"";"";"";"";"";"";"";""
"flw_050_FqP";"150";"30";"5239";"5268";"TRUE";"";"";"";"";"";"";"";"";""
"flw_051_FqM";"151";"30";"5269";"5298";"TRUE";"";"";"";"";"";"";"";"";""
